framework,framework_name,entry_id,entry_name,entry_description,disposition,register_ids,register_names,confidence,note
nist_genai,NIST AI 600-1 Generative AI Profile,GENAI.1,CBRN Information or Capabilities,"Eased access to or synthesis of materially nefarious information or design capabilities related to chemical, biological, radiological or nuclear (CBRN) weapons or other dangerous materials or agents.",Mapped,MR-029,"Facilitation of weapons, CBRN and serious physical harm (capability uplift)",Clear,CBRN information or capabilities is the register's CBRN and serious physical-harm capability-uplift risk (MR-029).
nist_genai,NIST AI 600-1 Generative AI Profile,GENAI.2,Confabulation,The production of confidently stated but erroneous or false content (known colloquially as hallucinations or fabrications) by which users may be misled or deceived.,Mapped,MR-021,Hallucination and fabricated output,Clear,Confabulation is hallucination / fabricated or factually incorrect output (MR-021).
nist_genai,NIST AI 600-1 Generative AI Profile,GENAI.3,"Dangerous, Violent, or Hateful Content","Eased production of and access to violent, inciting, radicalizing or threatening content as well as recommendations to carry out self-harm or conduct illegal activities; includes difficulty controlling public exposure to hateful and disparaging or stereotyping content.",Mapped,MR-004 | MR-003 | MR-007,"Violent or extremist content generation | Toxic, hateful, or harassing content generation | Self-harm, suicide and dangerous-behavior promotion",Clear,"Dangerous, violent or hateful content spans violent or extremist content (MR-004), toxic or hateful content (MR-003) and self-harm promotion (MR-007)."
nist_genai,NIST AI 600-1 Generative AI Profile,GENAI.4,Data Privacy,"Impacts due to leakage and unauthorized use, disclosure or de-anonymization of biometric, health, location or other personally identifiable information or sensitive data.",Mapped,MR-009 | MR-011 | MR-017,Leakage of personal or sensitive data | Unlawful or non-consensual collection and processing of personal data | Privacy-invasive inference and re-identification,Clear,"Data privacy spans leakage of personal data in outputs (MR-009), unlawful collection and processing (MR-011) and privacy-invasive inference and re-identification (MR-017)."
nist_genai,NIST AI 600-1 Generative AI Profile,GENAI.5,Environmental Impacts,"Impacts due to high compute resource utilization in training or operating GAI models, and related outcomes that may adversely impact ecosystems.",Mapped,MR-037,Environmental footprint of AI,Clear,Environmental impacts is the register's environmental footprint of AI risk (MR-037).
nist_genai,NIST AI 600-1 Generative AI Profile,GENAI.6,Harmful Bias or Homogenization,"Amplification and exacerbation of historical, societal and systemic biases; performance disparities between sub-groups or languages; and undesired homogeneity that skews system or model outputs and may amplify harmful biases.",Mapped,MR-001 | MR-002 | MR-047,"Biased or discriminatory outputs and decisions | Stereotyping and representational harm | Vendor/model concentration, monoculture and correlated failure",Clear,"Harmful bias or homogenization spans biased or discriminatory outputs (MR-001), stereotyping and representational harm (MR-002), and homogenization or monoculture (MR-047)."
nist_genai,NIST AI 600-1 Generative AI Profile,GENAI.7,Human-AI Configuration,"Arrangements of or interactions between a human and an AI system which can result in the human inappropriately anthropomorphizing GAI systems or experiencing algorithmic aversion, automation bias, over-reliance or emotional entanglement.",Mapped,MR-034 | MR-036 | MR-035,"Overreliance and automation bias | Anthropomorphism, emotional dependence and psychological harm | Erosion of human agency and autonomy",Clear,"Human-AI configuration spans overreliance and automation bias (MR-034), anthropomorphism and emotional dependence (MR-036) and erosion of human agency (MR-035)."
nist_genai,NIST AI 600-1 Generative AI Profile,GENAI.8,Information Integrity,"Lowered barrier to entry to generate and support the exchange and consumption of content which may not distinguish fact from opinion or fiction or acknowledge uncertainties, or could be leveraged for large-scale dis- and mis-information campaigns.",Mapped,MR-023 | MR-026 | MR-031,"Contribution to misinformation and information-ecosystem degradation | Disinformation and influence operations | Impersonation, deepfakes and synthetic media",Clear,"Information integrity spans misinformation and information-ecosystem degradation (MR-023), disinformation and influence operations (MR-026) and synthetic media or deepfakes (MR-031)."
nist_genai,NIST AI 600-1 Generative AI Profile,GENAI.9,Information Security,"Lowered barriers for offensive cyber capabilities (automated vulnerability discovery and exploitation, hacking, malware, phishing) and an increased attack surface for targeted cyberattacks that may compromise a system's availability or the confidentiality or integrity of training data, code or model weights.",Mapped,MR-027 | MR-015 | MR-018,AI-enabled cyberattacks and offensive cyber operations | Residual AI system security and availability weaknesses | AI supply-chain and infrastructure vulnerabilities,Clear,"Information security spans AI-enabled offensive cyber operations (MR-027), general AI security weakness and availability attacks (MR-015) and supply-chain exposure of code or weights (MR-018)."
nist_genai,NIST AI 600-1 Generative AI Profile,GENAI.10,Intellectual Property,"Eased production or replication of alleged copyrighted, trademarked or licensed content without authorization; eased exposure of trade secrets; or plagiarism or illegal replication.",Mapped,MR-039,Intellectual property and copyright infringement,Clear,Intellectual property is the register's IP and copyright infringement risk (MR-039).
nist_genai,NIST AI 600-1 Generative AI Profile,GENAI.11,"Obscene, Degrading, and/or Abusive Content","Eased production of and access to obscene, degrading and/or abusive imagery, including synthetic child sexual abuse material (CSAM) and nonconsensual intimate images (NCII) of adults.",Mapped,MR-008 | MR-005,Sexual content and non-consensual intimate imagery | Child sexual abuse material and child-safety harm,Clear,"Obscene, degrading or abusive content spans adult or non-consensual intimate imagery (MR-008) and child sexual abuse material (MR-005)."
nist_genai,NIST AI 600-1 Generative AI Profile,GENAI.12,Value Chain and Component Integration,"Non-transparent or untraceable integration of upstream third-party components (including improperly obtained or uncleaned data), improper supplier vetting across the AI lifecycle, or other issues that diminish transparency or accountability for downstream users.",Mapped,MR-018 | MR-064 | MR-045,"AI supply-chain and infrastructure vulnerabilities | Embedded AI introduced through procurement | Insufficient documentation, transparency and data provenance",Clear,"Value chain and component integration spans AI supply-chain vulnerabilities (MR-018), embedded AI introduced through procurement (MR-064) and documentation, transparency and data provenance (MR-045)."
